Date,Close/Last,Volume,Open,High,Low
02/23/2016,31.87,509480,33.34,33.53,31.22
02/22/2016,31.48,21222,29.72,32.05,29.48
02/19/2016,29.64,69629,30.60,30.73,29.05
02/18/2016,30.77,211849,31.35,31.98,30.27
02/17/2016,30.66,479466,29.14,31.49,28.73
02/16/2016,29.04,618357,30.05,31.53,28.70
02/12/2016,29.44,12260,29.08,29.29,28.95
02/11/2016,26.21,719004,27.34,27.48,26.05
02/10/2016,27.45,695503,28.36,29.22,27.24
02/09/2016,27.94,651046,30.17,30.61,27.74
02/08/2016,29.69,515650,30.97,31.38,29.57
02/05/2016,30.89,562374,31.64,32.45,30.63
02/04/2016,31.72,668236,31.67,33.60,31.53
02/03/2016,32.28,770723,29.75,32.75,29.40
02/02/2016,29.88,572321,29.75,31.53,29.57
02/01/2016,31.62,561723,33.83,34.18,31.29
01/29/2016,33.62,585377,33.70,34.40,32.65
01/28/2016,33.22,805266,32.19,34.82,31.74
01/27/2016,32.30,716600,30.55,32.84,30.14
01/26/2016,31.45,614963,29.81,32.41,29.25
01/25/2016,30.34,564774,32.05,32.74,29.68
01/22/2016,32.19,604937,29.84,32.35,29.53
01/21/2016,29.53,658451,28.35,30.25,27.87
01/20/2016,26.55,690039,28.33,28.58,26.19
01/19/2016,28.46,151360,29.07,30.21,28.21
01/15/2016,29.42,14769,29.20,29.31,28.36
01/14/2016,31.20,497634,30.60,31.77,30.28
01/13/2016,30.48,594517,30.54,31.71,30.10
01/12/2016,30.44,587310,31.11,32.21,29.93
01/11/2016,31.41,581462,32.94,33.20,30.88
01/08/2016,33.16,537943,33.30,34.34,32.64
01/07/2016,33.27,573186,34.09,34.26,32.10
01/06/2016,33.97,510537,36.18,36.39,33.77
01/05/2016,35.97,395681,36.90,37.10,35.74
01/04/2016,36.76,415291,37.60,38.39,36.33
12/31/2015,37.04,260638,36.81,37.79,36.22
12/30/2015,36.60,245395,37.36,37.40,36.40
12/29/2015,37.87,219955,36.70,37.94,36.66
12/28/2015,36.81,202637,36.63,38.09,36.60
12/25/2015,38.10,N/A,38.10,38.10,38.10
12/24/2015,38.10,185540,37.86,38.28,37.38
12/23/2015,37.50,354944,37.86,37.95,36.28
12/22/2015,36.14,286876,36.42,36.54,35.66
12/21/2015,34.74,19661,34.58,34.86,33.98
12/18/2015,34.73,78359,34.87,35.57,34.29
12/17/2015,34.95,179068,35.80,35.84,34.63
12/16/2015,35.52,380339,36.79,37.35,35.29
12/15/2015,37.35,446806,36.32,37.88,36.03
12/14/2015,36.31,518414,35.40,36.70,34.53
12/11/2015,35.62,464439,36.63,36.84,35.16
12/10/2015,36.76,447667,37.27,37.54,36.38
12/09/2015,37.16,584363,37.86,38.99,36.87
12/08/2015,37.51,690547,37.68,38.58,36.64
12/07/2015,37.65,570560,40.10,40.15,37.50
12/04/2015,39.97,485154,41.31,42.00,39.60
12/03/2015,41.08,469476,40.15,41.78,40.07
12/02/2015,39.94,521728,41.69,41.97,39.84
12/01/2015,41.85,392750,41.73,42.23,41.17
11/30/2015,41.65,350195,41.77,42.61,41.50
11/27/2015,41.71,297087,42.55,43.30,41.67
11/26/2015,43.04,N/A,43.04,43.04,43.04
11/25/2015,43.04,9037,43.25,43.30,42.99
11/24/2015,42.87,409904,42.04,43.46,41.86
11/23/2015,41.75,505592,42.08,42.75,40.41
11/20/2015,40.39,27009,40.54,40.99,38.99
11/19/2015,40.54,75899,40.72,41.05,39.89
11/18/2015,40.75,230145,41.11,41.55,39.91
11/17/2015,40.67,328185,41.09,42.03,40.58
11/16/2015,41.74,504065,40.92,42.25,40.06
11/13/2015,40.74,443937,41.61,42.21,40.22
